Package	Version
AnnotationDbi	1.70.0
AnnotationFilter	1.32.0
Azimuth	0.5.0
BH	1.87.0-1
BPCells	0.3.1
BSgenome	1.76.0
BSgenome.Hsapiens.UCSC.hg38	1.4.5
Biobase	2.68.0
BiocGenerics	0.54.1
BiocIO	1.18.0
BiocManager	1.30.26
BiocNeighbors	2.2.0
BiocParallel	1.42.2
BiocSingular	1.24.0
Biostrings	2.76.0
Cairo	1.6-5
DBI	1.2.3
DT	0.34.0
DelayedArray	0.34.1
DelayedMatrixStats	1.30.0
DirichletMultinomial	1.50.0
EnsDb.Hsapiens.v86	2.99.0
FNN	1.1.4.1
GenomeInfoDb	1.44.3
GenomeInfoDbData	1.2.14
GenomicAlignments	1.44.0
GenomicFeatures	1.60.0
GenomicRanges	1.60.0
HDF5Array	1.36.0
IRanges	2.42.0
IRdisplay	1.1
IRkernel	1.3.2
JASPAR2020	0.99.10
KEGGREST	1.48.1
MatrixGenerics	1.20.0
ProtGenerics	1.40.0
R.methodsS3	1.8.2
R.oo	1.27.1
R.utils	2.12.3-9009
R6	2.6.1
RANN	2.6.2
RColorBrewer	1.1-3
RCurl	1.98-1.17
ROCR	1.0-11
RSQLite	2.4.3
RSpectra	0.16-2
Rcpp	1.1.0
RcppAnnoy	0.0.22
RcppArmadillo	15.0.2-2
RcppEigen	0.3.4.0.2
RcppHNSW	0.6.0
RcppML	0.3.7
RcppRoll	0.3.1
RcppTOML	0.2.3
Rdpack	2.6.4
ResidualMatrix	1.18.0
Rhdf5lib	1.30.0
RhpcBLASctl	0.23-42
Rhtslib	3.4.0
Rsamtools	2.24.1
Rtsne	0.17
S4Arrays	1.8.1
S4Vectors	0.46.0
S7	0.2.0
ScaledMatrix	1.16.0
Seurat	5.3.0
SeuratData	0.2.2.9002
SeuratDisk	0.0.0.9021
SeuratObject	5.2.1
SeuratWrappers	0.4.0
Signac	1.16.0
SingleCellExperiment	1.30.1
SoupX	1.6.2
SparseArray	1.8.1
SummarizedExperiment	1.38.1
TFBSTools	1.46.0
TFMPvalue	0.0.9
UCSC.utils	1.4.0
XML	3.99-0.19
XVector	0.48.0
abind	1.4-8
anndataR	0.99.5
askpass	1.2.1
assertthat	0.2.1
assorthead	1.2.0
base64enc	0.1-3
batchelor	1.24.0
beachmat	2.24.0
beeswarm	0.4.0
bit	4.6.0
bit64	4.6.0-1
bitops	1.0-9
blob	1.2.4
bluster	1.18.0
brew	1.0-10
brio	1.1.5
bslib	0.9.0
caTools	1.18.3
cachem	1.1.0
callr	3.7.6
cellranger	1.1.0
classInt	0.4-11
cli	3.6.5
clipr	0.8.0
commonmark	2.0.0
cowplot	1.2.0
cpp11	0.5.2
crayon	1.5.3
credentials	2.0.3
crosstalk	1.2.2
curl	7.0.0
data.table	1.17.8
deldir	2.0-4
desc	1.4.3
devtools	2.4.6
diffobj	0.3.6
digest	0.6.37
distributional	0.5.0
dotCall64	1.2
downlit	0.4.4
dplyr	1.1.4
dqrng	0.4.1
e1071	1.7-16
edgeR	4.6.3
ellipsis	0.3.2
ensembldb	2.32.0
evaluate	1.0.5
fansi	1.0.6
farver	2.1.2
fastDummies	1.7.5
fastmap	1.2.0
fastmatch	1.1-6
fitdistrplus	1.2-4
fontawesome	0.5.3
formatR	1.14
fs	1.6.6
furrr	0.3.1
futile.logger	1.4.3
futile.options	1.0.1
future	1.67.0
future.apply	1.20.0
gargle	1.6.0
generics	0.1.4
gert	2.1.5
ggbeeswarm	0.7.2
ggdist	3.3.3
ggforce	0.5.0
ggplot2	4.0.0
ggrastr	1.0.2
ggrepel	0.9.6
ggridges	0.5.7
gh	1.5.0
gitcreds	0.1.2
glmGamPoi	1.20.0
glmpca	0.2.0
globals	0.18.0
glue	1.8.0
goftest	1.2-3
googledrive	2.1.2
googlesheets4	1.1.2
gplots	3.2.0
gridExtra	2.3
grr	0.9.5
gtable	0.3.6
gtools	3.9.5
h5mread	1.0.1
harmony	1.2.4
hdf5r	1.3.12
here	1.0.2
hexbin	1.28.5
highr	0.11
hms	1.1.4
htmltools	0.5.8.1
htmlwidgets	1.6.4
httpuv	1.6.16
httr	1.4.7
httr2	1.2.1
ica	1.0-3
ids	1.0.1
igraph	2.2.0
ini	0.3.1
irlba	2.3.5.1
isoband	0.2.7
jquerylib	0.1.4
jsonlite	2.0.0
knitr	1.50
labeling	0.4.3
lambda.r	1.2.4
later	1.4.4
lazyeval	0.2.2
leidenbase	0.1.35
lifecycle	1.0.4
limma	3.64.3
listenv	0.9.1
lme4	1.1-37
lmtest	0.9-40
locfit	1.5-9.12
magrittr	2.0.4
matrixStats	1.5.0
memoise	2.0.1
metapod	1.16.0
mime	0.13
miniUI	0.1.2
minqa	1.2.8
monocle3	1.4.26
multtest	2.64.0
nloptr	2.2.1
numDeriv	2016.8-1.1
openssl	2.3.4
pak	0.9.0
parallelly	1.45.1
patchwork	1.3.2
pbapply	1.7-4
pbdZMQ	0.3-14
pbmcapply	1.5.1
pheatmap	1.0.13
pillar	1.11.1
pkgbuild	1.4.8
pkgconfig	2.0.3
pkgdown	2.1.3
pkgload	1.4.1
plotly	4.11.0
plyr	1.8.9
png	0.1-8
polyclip	1.10-7
praise	1.0.0
presto	1.0.0
prettyunits	1.2.0
processx	3.8.6
profvis	0.4.0
progress	1.2.3
progressr	0.17.0
promises	1.3.3
proxy	0.4-27
ps	1.9.1
pscl	1.5.9
purrr	1.1.0
pwalign	1.4.0
quadprog	1.5-8
ragg	1.5.0
rappdirs	0.3.3
rbibutils	2.3
rcmdcheck	1.4.0
readr	2.1.5
reformulas	0.4.1
rematch	2.0.0
rematch2	2.1.2
remotes	2.5.0
repr	1.1.7
reshape2	1.4.4
restfulr	0.0.16
reticulate	1.43.0
rhdf5	2.52.1
rhdf5filters	1.20.0
rjson	0.2.23
rlang	1.1.6
rmarkdown	2.30
roxygen2	7.3.3
rprojroot	2.1.1
rsample	1.3.1
rstudioapi	0.17.1
rsvd	1.0.5
rtracklayer	1.68.0
rversions	3.0.0
s2	1.1.9
sass	0.4.10
scDblFinder	1.23.4
scales	1.4.0
scater	1.36.0
scattermore	1.2
scran	1.36.0
scry	1.20.0
sctransform	0.4.2
scuttle	1.18.0
seqLogo	1.74.0
sessioninfo	1.2.3
sf	1.0-21
shiny	1.11.1
shinyBS	0.61.1
shinydashboard	0.7.3
shinyjs	2.1.0
slam	0.1-55
slider	0.3.2
snow	0.4-4
sourcetools	0.1.7-1
sp	2.2-0
spData	2.3.4
spam	2.11-1
sparseMatrixStats	1.20.0
spatstat.data	3.1-8
spatstat.explore	3.5-3
spatstat.geom	3.6-0
spatstat.random	3.4-2
spatstat.sparse	3.1-0
spatstat.univar	3.1-4
spatstat.utils	3.2-0
spdep	1.4-1
speedglm	0.3-4
statmod	1.5.1
stringi	1.8.7
stringr	1.5.2
sys	3.4.3
systemfonts	1.3.1
tensor	1.5.1
testthat	3.2.3
textshaping	1.0.4
tibble	3.3.0
tidyr	1.3.1
tidyselect	1.2.1
tinytex	0.57
tweenr	2.0.3
tzdb	0.5.0
units	1.0-0
urlchecker	1.0.1
usethis	3.2.1
utf8	1.2.6
uuid	1.2-1
uwot	0.2.3
vctrs	0.6.5
vipor	0.4.7
viridis	0.6.5
viridisLite	0.4.2
vroom	1.6.6
waldo	0.6.2
warp	0.2.1
whisker	0.4.1
withr	3.0.2
wk	0.9.4
xfun	0.53
xgboost	1.7.11.1
xml2	1.4.0
xopen	1.0.1
xtable	1.8-4
yaml	2.3.10
zip	2.3.3
zoo	1.8-14
KernSmooth	2.23-26
MASS	7.3-65
Matrix	1.7-4
base	4.5.1
boot	1.3-32
class	7.3-23
cluster	2.1.8.1
codetools	0.2-19
compiler	4.5.1
datasets	4.5.1
foreign	0.8-90
grDevices	4.5.1
graphics	4.5.1
grid	4.5.1
lattice	0.22-5
methods	4.5.1
mgcv	1.9-1
nlme	3.1-168
nnet	7.3-20
parallel	4.5.1
rpart	4.1.24
spatial	7.3-15
splines	4.5.1
stats	4.5.1
stats4	4.5.1
survival	3.8-3
tcltk	4.5.1
tools	4.5.1
utils	4.5.1
